Proveedor,Marca,Clave,Tipo,Potencia,Eficiencia,Ancho,Alto,Grosor,medida,,,,,,,,
Solar Center,LONGI,PV-PS-610N-LNG,HPBC ANTI-DUST,610,22.60%,2.382,1.134,0.03,m,,,,,,,,
Solar Center,LONGI,PV-PS-615-AD-LNG,HPBC ANTI-DUST,615,22.80%,2.382,1.134,0.03,m,,,,,,,,
Solar Center,LONGI,PV-PS-640-LNG,HPBC 2.0ANTI-DUST,640,23.70%,2.382,1.134,0.03,m,,,,,,,,
Solar Center,Trina Solar,PV-PS-610-TNA,N TYPE,610,22.60%,2.382,1.134,0.03,m,,,,,,,,
Solar Center,Trina Solar,PV-PS-615-TNA,N TYPE,615,22.80%,2.382,1.134,0.03,m,,,,,,,,
Solar Center,Trina Solar,PV-PS-620NTNA,N TYPE,620,23.00%,2.382,1.134,0.03,m,,,,,,,,
Solar Center,Trina Solar,PV-PS-620-BI-TNA,N TYPE BIFACIAL,620,23.00%,2.382,1.134,0.03,m,,,,,,,,
Solar Center,Trina Solar,PV-PS-710-TNA,N TYPE,710,22.90%,2.384,1.134,0.03,m,,,,,,,,
Solar Center,TW Solar,PV-PS-415-TW,MONO PERC,415,21.30%,1.722,1.134,0.03,m,,,,,,,,
Solar Center,TW Solar,PV-PS-615-TWS,N TYPE,615,22.80%,2.382,1.134,0.035,m,,,,,,,,
Solar Center,TW Solar,PV-PS-625-TWS,N TYPE,620,23.00%,2.382,1.134,0.035,m,,,,,,,,
Solar Center,TW Solar,PV-PS-715-TW,N TYPE,715,23.00%,2.384,1.303,0.035,m,,,,,,,,
Solar Center,Risen,PV-PS-550-RSN,MONO PERC,550,21.30%,2.279,1.134,0.035,m,,,,,,,,
Solar Center,Risen,PV-PS-665-RSN,MONO PERC,665,21.10%,2.384,1.303,0.035,m,,,,,,,,
Solar Center,Risen,PV-PS-710-RSN,TYPE N HJT,710,22.90%,2.384,1.303,0.033,m,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
